,mes,razon_social,plazo,tasa_pasiva_efectiva,ULTIMA_CALIFICACIÓN
223139,2025-09,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,b. 30 - 60 DIAS,5.39718145460468,
223140,2025-09,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,c. 61 - 90 DIAS,6.15,
223141,2025-09,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,d. 91 - 120 DIAS,11.0768099543495,
223142,2025-09,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,e. 121 - 180 DIAS,8.74,
223143,2025-09,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,f. 181 - 360 DIAS,9.51013390638992,
223144,2025-09,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,g. MAS DE 360 DIAS,11.891245993589749,
223145,2025-09,COOPERATIVA DE AHORRO Y CREDITO 13 DE ABRIL,a. MENOS DE 30 DIAS,1.79237874563088,
223146,2025-09,COOPERATIVA DE AHORRO Y CREDITO 13 DE ABRIL,d. 91 - 120 DIAS,4.58,
223147,2025-09,COOPERATIVA DE AHORRO Y CREDITO 13 DE ABRIL,e. 121 - 180 DIAS,5.855,
223148,2025-09,COOPERATIVA DE AHORRO Y CREDITO 13 DE ABRIL,f. 181 - 360 DIAS,6.569290742258685,
223149,2025-09,COOPERATIVA DE AHORRO Y CREDITO 13 DE ABRIL,g. MAS DE 360 DIAS,7.545831221561737,
223150,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE ABRIL LTDA,a. MENOS DE 30 DIAS,0.616381461444305,BB
223151,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE ABRIL LTDA,b. 30 - 60 DIAS,4.267247443525286,BB
223152,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE ABRIL LTDA,c. 61 - 90 DIAS,4.789414118733304,BB
223153,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE ABRIL LTDA,d. 91 - 120 DIAS,4.428217089049744,BB
223154,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE ABRIL LTDA,e. 121 - 180 DIAS,5.89801461230182,BB
223155,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE ABRIL LTDA,f. 181 - 360 DIAS,6.157505549244443,BB
223156,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE ABRIL LTDA,g. MAS DE 360 DIAS,7.548732789774827,BB
223157,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE AGOSTO DE PILACOTO,a. MENOS DE 30 DIAS,0.69,
223158,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE AGOSTO DE PILACOTO,d. 91 - 120 DIAS,6.13386518429487,
223159,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE AGOSTO DE PILACOTO,e. 121 - 180 DIAS,6.27570175813933,
223160,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE AGOSTO DE PILACOTO,f. 181 - 360 DIAS,7.36455392332736,
223161,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE AGOSTO DE PILACOTO,g. MAS DE 360 DIAS,9.37983628455037,
223162,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE AGOSTO LTDA,a. MENOS DE 30 DIAS,0.8,
223163,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE AGOSTO LTDA,e. 121 - 180 DIAS,6.05038461538462,
223164,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE AGOSTO LTDA,f. 181 - 360 DIAS,6.09,
223165,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE AGOSTO LTDA,g. MAS DE 360 DIAS,10.1116945882053,
223166,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE MAYO LTDA,a. MENOS DE 30 DIAS,1.0,
223167,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE MAYO LTDA,c. 61 - 90 DIAS,10.52,
223168,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE MAYO LTDA,d. 91 - 120 DIAS,8.080667101221843,
223169,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE MAYO LTDA,e. 121 - 180 DIAS,8.33,
223170,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE MAYO LTDA,f. 181 - 360 DIAS,9.740063299744996,
223171,2025-09,COOPERATIVA DE AHORRO Y CREDITO 15 DE MAYO LTDA,g. MAS DE 360 DIAS,10.834586971323084,
223172,2025-09,COOPERATIVA DE AHORRO Y CREDITO 16 DE JULIO LTDA,a. MENOS DE 30 DIAS,2.29167838296281,
223173,2025-09,COOPERATIVA DE AHORRO Y CREDITO 16 DE JULIO LTDA,c. 61 - 90 DIAS,5.39,
223174,2025-09,COOPERATIVA DE AHORRO Y CREDITO 16 DE JULIO LTDA,d. 91 - 120 DIAS,6.214258273975505,
223175,2025-09,COOPERATIVA DE AHORRO Y CREDITO 16 DE JULIO LTDA,e. 121 - 180 DIAS,5.92686315831834,
223176,2025-09,COOPERATIVA DE AHORRO Y CREDITO 16 DE JULIO LTDA,f. 181 - 360 DIAS,6.4567621465713945,
